position,candidate_top1,oracle_top1,kl,relative_nll_delta,max_logit_error
0,846,846,0.00004564,0.01287103,0.07803726
1,198,198,0.00000000,0.01603376,0.07079506
2,2,2,0.00071092,0.03071376,0.39957523
3,513,513,0.00001046,0.03302653,0.12093920
4,264,264,0.00039353,0.06802337,0.46208328
5,10631,10631,0.00009180,0.00557094,0.08197403
6,54476,54476,0.00823096,0.02651245,0.68640113
7,17313,17313,0.01729129,0.93892852,2.22908139
8,248046,248046,0.00017158,0.13304929,0.90783834
9,248046,248046,0.00000000,0.00851389,2.39492464
10,279,279,0.07457785,0.03807835,1.67926216
11,12688,12688,0.01349222,0.04627363,3.07015443
12,248046,248046,0.07809618,0.38345320,2.33851242
13,12688,37027,0.61541675,0.03527549,2.88008261
14,31626,31626,0.02320704,0.05159881,1.42445862
15,248046,248046,0.00001360,0.01763213,0.86355901
16,9468,9468,0.00170703,0.06095132,1.06987596
17,35932,35932,0.02222030,0.01439789,0.98689264
18,248046,248046,0.00000076,0.00818727,1.10840607
19,248046,248046,0.00000000,0.26985542,1.12577486
20,198,198,0.00000000,0.13112155,0.46544862
21,248045,248045,0.00000001,0.50600825,0.64641237
22,846,846,0.00000364,0.28240941,0.79897690
23,198,198,0.00000088,0.00139072,1.27173162
24,248046,248046,0.00877047,0.03623253,0.97974730
25,248046,248046,0.00109296,0.01646420,0.82154560
26,248046,248046,0.01033764,0.11708374,1.68082190
27,248046,248046,0.00000015,0.10412902,2.06670380
28,248046,248046,0.00000000,0.00441506,1.13266087
29,248046,248046,0.00001235,0.02403014,0.31574297
30,248046,248046,0.00007910,0.01098259,0.38006401
31,248046,248046,0.00000053,0.01037421,0.36258674
32,248046,248046,0.00000000,0.00724443,0.43966675
33,248046,248046,0.00207830,0.09625099,0.54485297
34,248046,248046,0.03484154,0.05337452,0.52245522
35,248046,248046,0.01917269,0.06834151,0.61788368
36,248046,248046,0.01407290,0.11814209,0.50218582
37,248046,248046,0.00000016,0.02821422,0.49273014
38,248046,248046,0.00000001,0.00375591,0.45710468
